gender	age	headsize	brainwt
female	46plus	3354	1204
female	46plus	3000	1090
female	46plus	3687	1355
female	46plus	3556	1250
female	46plus	2773	1076
female	46plus	3058	1120
female	46plus	3344	1220
female	46plus	3493	1240
female	46plus	3297	1220
female	46plus	3360	1095
female	46plus	3228	1235
female	46plus	3277	1105
female	46plus	3851	1405
female	46plus	3067	1150
female	46plus	3692	1305
female	46plus	3402	1220
female	46plus	3995	1296
female	46plus	3318	1175
female	46plus	2720	955
female	46plus	2937	1070
female	46plus	3580	1320
female	46plus	2939	1060
female	46plus	2989	1130
female	46plus	3586	1250
female	46plus	3156	1225
female	46plus	3246	1180
female	46plus	3170	1178
female	46plus	3268	1142
female	46plus	3389	1130
female	46plus	3381	1185
female	46plus	2864	1012
female	46plus	3740	1280
female	46plus	3479	1103
female	46plus	3647	1408
female	46plus	3716	1300
female	46plus	3284	1246
female	46plus	4204	1380
female	46plus	3735	1350
female	46plus	3218	1060
female	46plus	3685	1350
female	46plus	3704	1220
female	46plus	3214	1110
female	46plus	3394	1215
female	46plus	3233	1104
female	46plus	3352	1170
female	46plus	3391	1120
